cycle_mid,cycle_end,cumulative_expected_births,effective_total_birth_hazard_per_cycle
3368706.4863842605,3426340.684413715,0.4316624487059002,4.995009121053515e-08
3486112.8189341137,3545884.953454513,0.4373602858281232,4.766298851414135e-08
3607892.6558913547,3669900.358328196,0.4429948620396207,4.543448628206013e-08
3734246.715555531,3798593.072782866,0.4485627844690572,4.326524973096052e-08
3865386.9875432197,3932180.902303573,0.4540607702325474,4.115633724431441e-08
4001537.4805662315,4070894.0588288894,0.4594856673131026,3.9108742216280897e-08
4142935.0270657884,4214975.995302687,0.464834364377207,3.712260672646559e-08
4289829.970155504,4364683.94500832,0.4701037765577169,3.5197945004731196e-08
4442486.812426919,4520289.6798455175,0.4752910172513423,3.333579381924812e-08
4601185.793798313,4682081.907751108,0.4803933092977381,3.153607631494575e-08
4766224.25137639,4850366.595001672,0.4854080058025701,2.9798887746485466e-08
4937917.386796117,5025468.17859056,0.4903325446176094,2.812389650684922e-08
5116599.525665175,5207730.872739789,0.4951645832227642,2.6511396793018628e-08
5302625.477186374,5397520.08163296,0.4999019099585212,2.4960991003569468e-08
5496372.0036091,5595223.925585242,0.5045424727599253,2.3472294259104604e-08
5698239.408393154,5801254.891201067,0.5090843505553433,2.2044636745949342e-08
5908653.254181639,6016051.617162212,0.5135258714328275,2.0677786673003612e-08
6128066.22126174,6240080.825361267,0.5178655078837207,1.937085117507235e-08
6356600.955250686,6473121.085140106,0.5220896534740801,1.8126248204358553e-08
6593812.716896169,6714504.348652232,0.5261804711663232,1.694739574203146e-08
6839547.437623238,6964590.526594245,0.5301400384067575,1.5832811205393535e-08
7094174.344306809,7223758.162019373,0.5339705400939564,1.4780015571448557e-08
7358081.854518225,7492405.547017077,0.5376742674094692,1.3786574976504912e-08
7631678.73469591,7770951.922374742,0.541253634453584,1.2850165576625117e-08
7915395.338092336,8059838.75380993,0.5447111156692288,1.1968289445621588e-08
8209684.925534161,8359531.097258391,0.5480492822549327,1.1138644875917307e-08
8515025.078189954,8670519.059121517,0.5512707838931207,1.0358927139455898e-08
8831919.20623152,8993319.353341524,0.554378322236916,9.626813851902294e-09
9160898.161817757,9328476.970293991,0.5573746622071976,8.940092120020458e-09
9502521.963251228,9676566.956208464,0.5602626003073637,8.296527383800604e-09
9857381.641796136,10038196.327383809,0.5630449922924794,7.694043147193757e-09
10226101.218090087,10414006.108796367,0.5657247039727479,7.1305000902217935e-09
10609339.811991239,10804673.51518611,0.5683046223977549,6.603874249067069e-09
11006260.412314735,11207847.30944336,0.5707701261760798,6.1152381762980895e-09
11415583.880953295,11623320.45246323,0.573122971845333,5.663051171374214e-09
11837427.615021577,12051534.777579924,0.5753688421588228,5.244734194442803e-09
12272243.116482472,12492951.45538502,0.5775131219610616,4.857722668978193e-09
12720501.736215038,12948052.017045056,0.5795609340386728,4.499691387199185e-09
13182695.737798817,13417339.458552577,0.5815171434087165,4.168467333708432e-09
13659339.39584233,13901339.333132084,0.5833863573700863,3.862013317655688e-09
14149449.952691812,14397560.572251542,0.5851627677703162,3.5798757896420255e-09
14651886.896318462,14906213.220385382,0.5868516217123365,3.3202499745483623e-09
15166943.867965039,15427674.515544698,0.5884583294731848,3.0811639823764495e-09
15695004.967443492,15962335.419342289,0.5899879102303163,2.8608427252996957e-09
16236468.325160708,16510601.23097913,0.5914450119499034,2.6576556273625175e-09
16791746.725810457,17072892.220641784,0.5928339507949196,2.470142453909e-09
17361268.24962598,17649644.27861018,0.5941587318063932,2.2969679833308697e-09
17945476.952181395,18241309.62575261,0.5954230715293584,2.136916973541765e-09
18544833.579283573,18848357.532814533,0.5966304211969417,1.988886961865651e-09
19159816.309080716,19471275.0853469,0.5977839917651651,1.8518832284204493e-09
19790921.538771354,20110567.992195804,0.5988867705456455,1.724997678945193e-09
20438664.712350372,20766761.43250494,0.5999415377469519,1.6074028426883766e-09
21103581.189459287,21440400.94641363,0.6009508829910315,1.4983462567731763e-09
21786227.1590928,22132053.37177197,0.6019172188698769,1.3971408809052813e-09
22487180.60159985,22842307.831427734,0.6028427968978669,1.303163979341398e-09
23207042.29535626,23571776.759284787,0.6037297178102025,1.2158446761276658e-09
23946436.887439854,24321097.01559492,0.6045799458445932,1.13466575503709e-09
24706014.008437473,25090931.00128003,0.60539531692969,1.0591518434602968e-09
25486449.453932114,25881967.9065842,0.6061775478037216,9.888677364943355e-10
26288446.429102533,26694924.95162087,0.6069282482225803,9.234195378980409e-10
27112736.838116568,27530548.724612266,0.6076489268618269,8.624439161977387e-10
27960082.655502476,28389616.58639269,0.6083409979833629,8.056070449448521e-10
28831277.39394151,29272938.20149033,0.6090057918236379,7.526067843380823e-10
29727147.660661682,30181357.119833037,0.6096445580219618,7.031625887858797e-10
30648554.769645702,31115752.419458367,0.610258473106417,6.570185923466769e-10
31596396.44570857,32077040.47195877,0.6108486451334764,6.139387933973166e-10
32571608.609213125,33066176.74646748,0.6114161184539134,5.737059038896419e-10
33575167.25154887,34084157.75663026,0.6119618788868028,5.361204457066178e-10
34608090.44428249,35132023.13193472,0.6124868579308391,5.009985599379428e-10
35671440.457156286,36210857.78237785,0.6129919364187257,4.681704352739802e-10
36766326.02004142,37321794.25770499,0.6134779479571622,4.374791441547523e-10
37893904.687491015,38466015.11727704,0.613945682558643,4.0877999869343297e-10
39055385.31857341,39644755.519869775,0.6143958891626422,3.819387229019445e-10
40252030.7050062,40859305.89014261,0.6148292787188372,3.5683127419213435e-10
41485160.326912716,42111014.76368283,0.6152465257523151,3.333419154390066e-10
42756153.3005264,43401291.83736998,0.6156482717608261,3.113641377529981e-10
44066451.4640195,44731611.09066902,0.6160351271047513,2.9079887625904233e-10
45417562.63167009,46103514.172671154,0.6164076719874582,2.7155335358179694e-10
46811064.06222102,47518613.95177089,0.6167664590357606,2.5354187287814055e-10
48248606.11593894,48978598.28010699,0.6171120149354836,2.366846636750476e-10
49731916.08948949,50485233.89887199,0.6174448419186893,2.2090741720185352e-10
51262802.28602941,52040370.67318683,0.6177654184428129,2.061404047658623e-10
52843158.359922044,53645946.04665726,0.6180742014649272,1.923192316078662e-10
54474967.85571362,55303989.66476999,0.6183716269533364,1.7938339206522696e-10
56160309.06787963,57016628.47098927,0.6186581109339652,1.672763571562585e-10
57901360.1157151,58786091.76044092,0.6189340510947469,1.5594568275401092e-10
59700404.31092046,60614716.86139999,0.6191998273039331,1.453420983048007e-10
61559835.89369704,62504954.92599408,0.619455802363761,1.354194821395962e-10
63472610.46464566,64440266.00329724,0.6197000650514027,1.262136565570381e-10
65430529.653554186,66420793.303811125,0.6199331314935597,1.1767898483219727e-10
67433940.4723009,68447087.64079069,0.6201555447572304,1.0976355192420784e-10
69483385.91577415,70519684.19075762,0.6203678190853349,1.0241951242649308e-10
71579392.94430867,72639101.6978597,0.6205704416614874,9.560295480884499e-11
73722471.6549027,74805841.61194569,0.6207638741972988,8.927353696393508e-11
75913114.46881968,77020387.32569368,0.620948554384406,8.33941633991357e-11
78151795.42005421,79283203.51441474,0.6211248973606719,7.793075599550406e-11
80438969.45938094,81594735.40434714,0.6212932969334506,7.285193577131411e-11
82775071.75727129,83955408.11019543,0.6214541268116606,6.81288337055539e-11
85160517.03278902,86365625.95538263,0.6216077419554598,6.373496242504971e-11
87595698.91865765,88825771.88193266,0.621754479485564,5.964586430446711e-11
90080989.3745749,91336206.86721715,0.6218946597575352,5.583903697684599e-11
92616738.19565171,93897269.52408628,0.6220285872838563,5.2293732822943286e-11
95203272.4704338,96509275.4167813,0.6221565515683052,4.89908100156705e-11
97840891.4275859,99172507.4383905,0.6222788276672213,4.591267224334728e-11
