material_class,option_id,sigma_a_MPa,N,H_cleave,S_no_attempt,S_stable_birth,conditional_attempt_admission_probability,rejected_phase_xi_fraction,minimum_admitted_length_m,maximum_admitted_length_m,minimum_energy_gate_margin_J_per_m
Peak,v913_paper_peak01_0242980_persistent_sites,631.0,10000000000.0,7.468103527353516e-06,0.9999925319243589,0.9999925319243589,1.0,0.0,2.2973400956248734e-06,1.8378720764998988e-05,8.652723072340396e-05
Peak,v913_paper_peak01_0242980_persistent_sites,631.0,1000000000000.0,0.0007468103518242943,0.9992534684416202,0.9992534684416202,1.0,0.0,2.2973400956248734e-06,1.8378720764998988e-05,8.652723072339768e-05
Peak,v913_paper_peak01_0242980_persistent_sites,631.0,100000000000000.0,0.07468102607749416,0.92803945950882,0.92803945950882,1.0,0.0,2.2973400956248734e-06,1.8378720764998988e-05,8.652723072277078e-05
DBTT,v913_paper_dbtt01_0202500_persistent_sites,648.0,100000000.0,1.0357533387703843e-07,0.9999998964246715,0.9999998964246715,1.0,0.0,2.2973400956248734e-06,1.8378720764998988e-05,9.293173113524238e-05
DBTT,v913_paper_dbtt01_0202500_persistent_sites,648.0,10000000000.0,1.0357533387703867e-05,0.9999896425202514,0.9999896425202514,1.0,0.0,2.2973400956248734e-06,1.8378720764998988e-05,9.293173113524238e-05
DBTT,v913_paper_dbtt01_0202500_persistent_sites,648.0,1000000000000.0,0.0010357533387701976,0.998964782868577,0.998964782868577,1.0,0.0,2.2973400956248734e-06,1.8378720764998988e-05,9.29317311352424e-05
DBTT,v913_paper_dbtt01_0202500_persistent_sites,648.0,100000000000000.0,0.10357533387488073,0.9016080985517035,0.9016080985517035,1.0,0.0,2.2973400956248734e-06,1.8378720764998988e-05,9.293173113524238e-05
weak-T,v913_paper_weakT01_0129902_persistent_sites,310.0,100000000.0,8.690500950028084e-08,0.9999999130949943,0.9999999130949943,1.0,0.0,2.2973400956248734e-06,1.8378720764998988e-05,-1.536491242202774e-05
weak-T,v913_paper_weakT01_0129902_persistent_sites,310.0,10000000000.0,8.587739043261424e-06,0.9999914122978313,0.9999914122978313,1.0,0.0,2.2973400956248734e-06,1.8378720764998988e-05,-1.536593958027311e-05
weak-T,v913_paper_weakT01_0129902_persistent_sites,310.0,1000000000000.0,0.0008501674896487475,0.9991501938003385,0.9991501938003385,1.0,0.0,2.2973400956248734e-06,1.8378720764998988e-05,-1.5366749125763512e-05
weak-T,v913_paper_weakT01_0129902_persistent_sites,310.0,100000000000000.0,0.08488388614248607,0.9186189425981006,0.9186189425981006,1.0,0.0,2.2973400956248734e-06,1.8378720764998988e-05,-1.5366749125763512e-05
ceramic,v913_paper_ceramic01_0077080_persistent_sites,332.0,100000000.0,7.439511296208618e-08,0.9999999256048898,0.9999999256048898,1.0,0.0,2.2973400956248734e-06,1.8378720764998988e-05,-2.050497186250881e-05
ceramic,v913_paper_ceramic01_0077080_persistent_sites,332.0,10000000000.0,7.439511296208634e-06,0.9999925605163769,0.9999925605163769,1.0,0.0,2.2973400956248734e-06,1.8378720764998988e-05,-2.050497186250881e-05
ceramic,v913_paper_ceramic01_0077080_persistent_sites,332.0,1000000000000.0,0.000743951129620863,0.9992563255334086,0.9992563255334086,1.0,0.0,2.2973400956248734e-06,1.8378720764998988e-05,-2.050497186250881e-05
ceramic,v913_paper_ceramic01_0077080_persistent_sites,332.0,100000000000000.0,0.07439511296208634,0.9283048360974254,0.9283048360974254,1.0,0.0,2.2973400956248734e-06,1.8378720764998988e-05,-2.050497186250881e-05
