material_class,option_id,sigma_a_MPa,N,phase_index,phase,Xi,proposed_length_m,maximum_released_energy_J_per_m,resistance_J_per_m2,minimum_energy_gate_margin_J_per_m,admitted_length_m,reason,mesh_resolved
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,2,0.0625,3.0,1.378404057374924e-05,0.091962953210313,3.5278586746334506,,1.378404057374924e-05,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,2,0.0625,3.5,1.6081380669374112e-05,0.091962953210313,3.5278586746334506,,1.6081380669374112e-05,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,2,0.0625,3.99,1.833277396308649e-05,0.091962953210313,3.5278586746334506,,1.833277396308649e-05,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,2,0.0625,4.0,1.8378720764998988e-05,0.091962953210313,3.5278586746334506,,1.8378720764998988e-05,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,2,0.0625,8.0,1.8378720764998988e-05,0.091962953210313,3.5278586746334506,,1.8378720764998988e-05,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,3,0.09375,0.1,2.2973400956248734e-06,0.08363084378670349,3.8171737828572616,,2.2973400956248734e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,3,0.09375,0.3,2.2973400956248734e-06,0.08363084378670349,3.8171737828572616,,2.2973400956248734e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,3,0.09375,0.49,2.2973400956248734e-06,0.08363084378670349,3.8171737828572616,,2.2973400956248734e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,3,0.09375,0.5,2.2973400956248734e-06,0.08363084378670349,3.8171737828572616,,2.2973400956248734e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,3,0.09375,0.6,2.7568081147498482e-06,0.08781238597603866,3.8171737828572616,,2.7568081147498482e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,3,0.09375,0.8,3.6757441529997978e-06,0.08363084378670349,3.8171737828572616,,3.6757441529997973e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,3,0.09375,1.0,4.594680191249747e-06,0.08363084378670349,3.8171737828572616,,4.594680191249747e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,3,0.09375,1.25,5.743350239062183e-06,0.07840391605003452,3.8171737828572616,,5.743350239062183e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,3,0.09375,1.5,6.89202028687462e-06,0.06272313284002762,3.8171737828572616,,6.89202028687462e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,3,0.09375,2.0,9.189360382499494e-06,0.08363084378670349,3.8171737828572616,,9.189360382499494e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,3,0.09375,2.5,1.1486700478124366e-05,0.08421371820559642,3.8171737828572616,,1.1486700478124366e-05,stochastic_proposal_reached,True
