site_id,pd_node_id,site_threshold,node_cumulative_action,remaining_threshold_action,site_status
1338,215,0.06284616994886816,1.7017153456724429e-28,0.06284616994886816,0
3318,453,0.06313045199809936,5.656385692464863e-26,0.06313045199809936,0
1066,170,0.063413097035978,2.6084578974784926e-26,0.063413097035978,0
531,85,0.06347520469626813,1.0042175829288735e-24,0.06347520469626813,0
2671,300,0.0636483919211054,3.2576137516329277e-41,0.0636483919211054,0
1830,258,0.06371068406118546,1.1144489704144987e-26,0.06371068406118546,0
2869,309,0.06426787530168418,1.2246685840617077e-29,0.06426787530168418,0
3690,487,0.06466027845872292,2.9883249935968477e-24,0.06466027845872292,0
1557,245,0.0648956053362963,4.4503102314880855e-25,0.0648956053362963,0
3339,454,0.0655316860377224,4.348567572686123e-30,0.0655316860377224,0
1129,179,0.06560500083981322,9.894748957632274e-30,0.06560500083981322,0
299,47,0.065745302567047,3.2653298563260655e-24,0.065745302567047,0
1071,170,0.06620457289042159,2.6084578974784926e-26,0.06620457289042159,0
3063,316,0.0663537721810245,7.29440699277306e-29,0.0663537721810245,0
928,145,0.06653176904708619,3.132686947315511e-24,0.06653176904708619,0
196,35,0.06686775794191865,9.245200704131146e-28,0.06686775794191865,0
1407,228,0.06695441993076404,5.018942519673886e-25,0.06695441993076404,0
3524,463,0.06714910705951702,2.3839198970416273e-30,0.06714910705951702,0
28,7,0.06762343192200032,1.3968615128679976e-28,0.06762343192200032,0
508,80,0.06773570465608104,2.9127952039737127e-29,0.06773570465608104,0
794,121,0.06779327225228196,6.665398982664785e-30,0.06779327225228196,0
2361,284,0.06797934272714529,8.690851390067876e-30,0.06797934272714529,0
3696,487,0.06810789930833609,2.9883249935968477e-24,0.06810789930833609,0
745,114,0.06828287939925126,2.641973918939006e-27,0.06828287939925126,0
2996,313,0.06841553664744329,6.538299196927555e-29,0.06841553664744329,0
1596,246,0.06856484577179,1.5976570676742676e-24,0.06856484577179,0
1544,244,0.0685954061645094,7.25043255573421e-29,0.0685954061645094,0
1576,245,0.06861675009510015,4.4503102314880855e-25,0.06861675009510015,0
1825,258,0.06908364743712174,1.1144489704144987e-26,0.06908364743712174,0
475,74,0.06917567063682833,6.841446507141857e-27,0.06917567063682833,0
425,67,0.06964218093731352,6.952758262718881e-24,0.06964218093731352,0
3446,462,0.07030445434444897,7.0960596185736065e-28,0.07030445434444897,0
433,69,0.07034613961868694,9.495501537511425e-25,0.07034613961868694,0
1141,183,0.07096026135952575,1.5731039681545641e-24,0.07096026135952575,0
251,41,0.07140947505065515,8.061278130251574e-30,0.07140947505065515,0
882,136,0.07193550167230546,2.710166873975015e-28,0.07193550167230546,0
176,32,0.07259791557960897,4.0507377925248253e-26,0.07259791557960897,0
3463,462,0.07261513430715796,7.0960596185736065e-28,0.07261513430715796,0
846,130,0.07278624576711969,5.664514665718794e-26,0.07278624576711969,0
3250,452,0.0732661825484654,5.941349408358543e-24,0.0732661825484654,0
3179,444,0.07341692319969614,3.2308369680466237e-28,0.07341692319969614,0
171,32,0.07399847198259125,4.0507377925248253e-26,0.07399847198259125,0
1898,260,0.07422526035771929,6.96954218181326e-26,0.07422526035771929,0
3461,462,0.07490608990432,7.0960596185736065e-28,0.07490608990432,0
2547,292,0.0751159755679513,7.997209463249716e-29,0.0751159755679513,0
2085,270,0.0753424629103365,5.680891685164823e-24,0.0753424629103365,0
295,46,0.07534835127907336,4.2530202314216874e-24,0.07534835127907336,0
1728,254,0.07536382410678548,4.444272633072384e-25,0.07536382410678548,0
3304,453,0.0763944275787736,5.656385692464863e-26,0.0763944275787736,0
414,66,0.07679335739621973,5.2125087116141194e-24,0.07679335739621973,0
2153,273,0.07704432873809051,6.846821228054287e-26,0.07704432873809051,0
3049,315,0.0773175214337967,1.02523651693438e-29,0.0773175214337967,0
3008,314,0.07791188067370411,1.8188522307993302e-29,0.07791188067370411,0
613,95,0.07803563156074245,1.631736772643244e-27,0.07803563156074245,0
670,106,0.07804205131220711,3.1874881173121603e-24,0.07804205131220711,0
3360,454,0.07813311234632232,4.348567572686123e-30,0.07813311234632232,0
3744,488,0.07876578517544823,6.268646962691018e-26,0.07876578517544823,0
136,29,0.07894227973796496,1.017095435499152e-24,0.07894227973796496,0
3562,480,0.07931329416307135,1.0939454433960173e-25,0.07931329416307135,0
1803,258,0.07936827764563494,1.1144489704144987e-26,0.07936827764563494,0
128,28,0.079645931607707,1.869008878488473e-24,0.079645931607707,0
668,106,0.07977955957926648,3.1874881173121603e-24,0.07977955957926648,0
2380,284,0.07979715636105159,8.690851390067876e-30,0.07979715636105159,0
614,96,0.07993840904517514,6.160282345475885e-28,0.07993840904517514,0
2821,306,0.07999673184858305,2.1132916639841704e-26,0.07999673184858305,0
2593,294,0.08084455815471725,2.8640894165112103e-25,0.08084455815471725,0
1656,249,0.08097720745381669,1.163477174492006e-24,0.08097720745381669,0
3503,463,0.0813285673950578,2.3839198970416273e-30,0.0813285673950578,0
3233,445,0.08139376805806811,1.8479717796752564e-28,0.08139376805806811,0
