sigma_a_MPa,cycles,H_attempt,S_no_attempt,numerical_mode,state_error,hazard_error,action_source
1630.0,1000000000.0,8.192046635003962,0.00027684669988221563,exact_private_window,1.872572535113387e-07,2.788080877280663e-11,direct_integral_from_partition_qualified_private_window
1630.0,10000000000.0,81.9204663423565,2.6448041188679854e-36,exact_private_window,6.906695507176483e-08,1.5649703755116207e-10,direct_integral_from_partition_qualified_private_window
1820.0,64.0,6.9468136738401e-05,0.9999305342761168,exact_private_window,6.187295524902634e-11,1.1564971202915331e-10,direct_integral_from_partition_qualified_private_window
1820.0,128.0,0.00013893627346073408,0.9998610733777363,exact_private_window,2.350053485535941e-11,4.96349628065218e-11,direct_integral_from_partition_qualified_private_window
1820.0,1000.0,0.001085439636396451,0.9989151492401231,exact_private_window,1.883016696413201e-10,4.510436468763146e-11,direct_integral_from_partition_qualified_private_window
1820.0,10000.0,0.010854396363062747,0.9892043000338636,exact_private_window,6.45824907808202e-10,9.133493961144268e-11,direct_integral_from_partition_qualified_private_window
1820.0,100000.0,0.10854396361188064,0.8971394524592724,exact_private_window,2.0513063561499366e-09,6.494360604847316e-12,direct_integral_from_partition_qualified_private_window
1820.0,1000000.0,1.085439636112733,0.33775326471710554,exact_private_window,6.4924774472322085e-09,2.0813295531496578e-10,direct_integral_from_partition_qualified_private_window
1820.0,10000000.0,10.854396364803998,1.9319485406595756e-05,exact_private_window,2.0505834653528808e-08,1.5650591933535907e-10,direct_integral_from_partition_qualified_private_window
1820.0,100000000.0,108.5439636381384,7.24361814662244e-48,exact_private_window,6.485379048811916e-08,9.57482981789326e-11,direct_integral_from_partition_qualified_private_window
2000.0,64.0,0.004224744462993951,0.9957841672156228,exact_private_window,7.299889869880604e-11,1.8325430062304804e-10,direct_integral_from_partition_qualified_private_window
2000.0,128.0,0.008449488924439497,0.9915861076788468,exact_private_window,1.7703394309410565e-11,1.3514966923366956e-10,direct_integral_from_partition_qualified_private_window
2000.0,1000.0,0.06601163222719401,0.9361199750680551,exact_private_window,2.0496702323375918e-10,6.467004709520552e-11,direct_integral_from_partition_qualified_private_window
2000.0,10000.0,0.6601163222017178,0.5167912167030949,exact_private_window,7.026038454986772e-10,1.1300549385140357e-10,direct_integral_from_partition_qualified_private_window
2000.0,100000.0,6.601163220604214,0.001358786549405424,exact_private_window,2.239943379197717e-09,1.6608181496735597e-10,direct_integral_from_partition_qualified_private_window
